POP,HP,REG,regHP,SAMPLE,LANE,READ1,READ2
CPSC,CP,Scot,ScotCP,P12002_203,S34_L001,../../../data/WGS/rawdata/P12002/P12002_203/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_203_S34_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_203/02-FASTQ/190111_ST-E00214_0276_BHWL33CCXY/P12002_203_S34_L001_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P12002_204,S45_L002,../../../data/WGS/rawdata/P12002/P12002_204/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_204_S45_L002_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_204/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_204_S45_L002_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P12002_204,S45_L005,../../../data/WGS/rawdata/P12002/P12002_204/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_204_S45_L005_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_204/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_204_S45_L005_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P12002_204,S45_L008,../../../data/WGS/rawdata/P12002/P12002_204/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_204_S45_L008_R1_001.fastq.gz,../../../data/WGS/rawdata/P12002/P12002_204/02-FASTQ/190111_ST-E00214_0275_AHWLHMCCXY/P12002_204_S45_L008_R2_001.fastq.gz
CHSK,CH,West,WestCH,P14052_101,S1_L001,../../../data/WGS/rawdata/P14052/P14052_101/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_101_S1_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_101/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_101_S1_L001_R2_001.fastq.gz
CHSK,CH,West,WestCH,P14052_102,S2_L001,../../../data/WGS/rawdata/P14052/P14052_102/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_102_S2_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_102/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_102_S2_L001_R2_001.fastq.gz
CHES,CH,East,EastCH,P14052_107,S7_L001,../../../data/WGS/rawdata/P14052/P14052_107/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_107_S7_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_107/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_107_S7_L001_R2_001.fastq.gz
COSK,CO,West,WestCO,P14052_108,S8_L001,../../../data/WGS/rawdata/P14052/P14052_108/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_108_S8_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_108/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_108_S8_L001_R2_001.fastq.gz
COSK,CO,West,WestCO,P14052_109,S9_L001,../../../data/WGS/rawdata/P14052/P14052_109/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_109_S9_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_109/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_109_S9_L001_R2_001.fastq.gz
CPSC,CP,Scot,ScotCP,P14052_113,S13_L001,../../../data/WGS/rawdata/P14052/P14052_113/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_113_S13_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_113/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_113_S13_L001_R2_001.fastq.gz
